country,year,control_total_patents
DK,2009,112.0
DK,2010,73.0
DK,2011,152.0
DK,2012,251.0
DK,2013,217.0
DK,2014,297.0
DK,2015,236.0
DK,2016,243.0
DK,2017,195.0
DK,2018,291.0
DK,2019,219.0
DK,2020,
TH,1985,16.0
TH,1986,12.0
TH,1987,1.0
TH,1988,19.0
TH,1989,7.0
TH,1990,12.0
TH,1991,11.0
TH,1992,9.0
TH,1993,11.0
TH,1994,1.0
TH,1995,18.0
TH,1996,22.0
TH,1997,43.0
TH,1998,29.0
TH,1999,45.0
TH,2000,58.0
TH,2001,39.0
TH,2002,56.0
TH,2003,57.0
TH,2004,62.0
TH,2005,118.0
TH,2006,118.0
TH,2007,62.0
TH,2008,59.0
TH,2009,306.0
TH,2010,143.0
TH,2011,57.0
TH,2012,68.0
TH,2013,73.0
TH,2014,62.0
TH,2015,61.0
TH,2016,88.0
TH,2017,128.0
TH,2018,172.0
TH,2019,202.0
TH,2020,
FI,1985,555.0
FI,1986,726.0
FI,1987,776.0
FI,1988,807.0
FI,1989,838.0
FI,1990,942.0
FI,1991,944.0
FI,1992,948.0
FI,1993,935.0
FI,1994,860.0
FI,1995,957.0
FI,1996,1090.0
FI,1997,960.0
FI,1998,879.0
FI,1999,999.0
FI,2000,1092.0
FI,2001,1092.0
FI,2002,1241.0
FI,2003,1179.0
FI,2004,1130.0
FI,2005,718.0
FI,2006,643.0
FI,2007,738.0
FI,2008,721.0
FI,2009,722.0
FI,2010,718.0
FI,2011,698.0
FI,2012,639.0
FI,2013,687.0
FI,2014,824.0
FI,2015,709.0
FI,2016,593.0
FI,2017,472.0
FI,2018,453.0
FI,2019,553.0
FI,2020,
HU,1985,2018.0
HU,1986,1617.0
HU,1987,1380.0
HU,1988,1213.0
HU,1989,1205.0
HU,1990,1068.0
HU,1991,896.0
HU,1992,687.0
HU,1993,536.0
HU,1994,534.0
HU,1995,352.0
HU,1996,346.0
HU,1997,263.0
HU,1998,300.0
