year,country,count,granted_count,granted_family_ge_2_count
1984,US,82358,59462,33887
1984,ZA,355,204,173
1985,AR,76,41,10
1985,AU,1831,921,751
1985,BE,1709,1073,956
1985,BG,1890,1768,152
1985,BR,4221,78,54
1985,CA,2500,1869,1271
1985,CH,8963,5095,4749
1985,CN,726,658,29
1985,DE,53440,23680,21439
1985,DK,1683,835,729
1985,EG,1,0,0
1985,ES,2562,2241,668
1985,FI,3394,1570,1172
1985,FR,24031,15789,11519
1985,GB,12842,7477,6650
1985,GR,44,16,14
1985,HU,1725,1085,946
1985,IE,175,121,107
1985,IL,765,331,277
1985,IN,34,21,9
1985,IT,15294,7917,4880
1985,JP,38997,29694,26338
1985,KR,8307,8265,225
1985,MA,33,32,4
1985,MX,184,173,30
1985,MY,11,5,3
1985,NL,5230,2895,2654
1985,NO,895,509,416
1985,NZ,193,117,102
1985,PA,121,55,53
1985,PH,278,273,5
1985,PL,4617,2993,117
1985,RU,1122,1114,16
1985,SE,7286,2935,2758
1985,SG,38,23,20
1985,SI,15,15,14
1985,TH,3,3,0
1985,UA,22,22,0
1985,US,85367,63012,36117
1985,ZA,310,173,150
1986,AR,161,102,26
1986,AU,2286,1220,1011
1986,BE,1962,1346,1216
1986,BG,1362,1264,103
1986,BR,4615,128,98
1986,CA,2961,2294,1482
1986,CH,9177,5535,5257
1986,CN,1229,1062,121
1986,DE,57682,26578,24093
1986,DK,2016,1085,972
1986,EG,2,1,0
1986,ES,2172,1796,677
1986,FI,3282,1524,1142
1986,FR,26061,17142,12778
1986,GB,15516,9670,8340
1986,GR,29,18,8
1986,HU,1552,1036,882
1986,IE,200,156,139
1986,IL,883,455,383
1986,IN,49,28,20
1986,IT,16930,10557,6141
1986,JP,43165,33902,30579
1986,KR,10635,10590,280
1986,MA,34,33,4
1986,MX,241,234,24
1986,MY,9,7,4
1986,NL,5966,3389,3245
1986,NO,1272,696,592
1986,NZ,219,142,129
1986,PA,84,52,45
1986,PH,212,210,2
1986,PL,793,515,72
1986,RU,1410,1401,18
1986,SE,7188,2973,2831
1986,SG,26,16,11
1986,SI,12,12,11
1986,TH,5,4,2
1986,UA,40,40,0
1986,US,94291,70387,42767
1986,ZA,373,213,170
1987,AR,137,79,29
1987,AU,2437,1335,1106
1987,BE,2158,1241,1151
1987,BG,531,439,82
1987,BR,5305,217,106
1987,CA,4008,3246,2030
1987,CH,9688,5627,5359
1987,CN,3682,2456,95
1987,DE,60779,28601,25860
1987,DK,2146,1119,1009
1987,EG,3,1,0
1987,ES,2352,1983,665
1987,FI,3919,1979,1558
1987,FR,28324,18636,14483
1987,GB,17952,11382,10008
1987,GR,51,26,22
1987,HU,1424,918,772
1987,IE,319,227,199
1987,IL,1087,561,473
1987,IN,50,30,19
1987,IT,17926,12445,6826
1987,JP,52659,42082,38108
